,FEEDBACK,PRICE,SELLER NAME,PRODUCT NAME
0,"Good Seller , Item as Advertised , Quick Ship",US $24.98,null,Canon PG-240XL Ink Cartridge - Black (#274306685961)
1,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
2,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
3,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
4,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
5,Speedy and product exactly  as described. Great seller!,US $246.96,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018)
6,"fast shipping, item as advertised ",US $269.96,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018)
7,Thank you!!  Item like described.  Great Seller! ,US $239.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#274146207819)"
8,Great value and as advertised,US $249.96,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018)
9,Great seller.  Item was as advertised.,US $238.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#223793532311)"
10,Great seller good to have a business with you,US $239.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#274146207819)"
11,Thanks,US $324.89,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#223775664915)
12,Love the item!!,US $238.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#223793532311)"
13,"Excellent ebayer, would buy again. Fast Shipping!",US $318.98,null,"Apple iPad mini 4 128GB, Wi-Fi, 7.9in - Gold (#223787251107)"
14,"Fast shipping, product was as described.",US $324.98,null,Nintendo Switch - 32GB Gray Console (with Neon Red/Neon Blue Joy-Con) (#273599256653)
15,Fast shipment.  Recommended seller.,US $250.98,null,Apple iPad 32GB - Space Grey (2017 Model) (#273558185029)
16,A+++++seller. VertrauenswÃ¼rdige VerkÃ¤ufer! ,US $99.98,null,Moto Insta-Share Projector (#223750258952)
17,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
18,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
19,Thank you so much for sharing eBay with us.  PayPal Digital Gifts,null,paypal_digital_gifts,null
20,Professional company. Would recommend to anyone. Great item. ,US $329.98,null,"Apple iPad mini 4 128GB, Wi-Fi, 7.9in - Space Gray (#273581498778)"
21,Thks,US $329.98,null,Nintendo Switch - 32GB Gray Console (with Neon Red/Neon Blue Joy-Con) (#273590818098)
22,"FRAUD SELLER,CANCELLD ORDER WITHOUT INFORMING ME,NEVER SHIPPED THE ITEM,AVOID",US $329.89,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#273558251620)
23,"Good buyer, prompt payment, valued customer, highly recommended.",null,dirtdevil,null
24,Received an awesome new laptop! Loving it so much! Thank you!!,US $149.98,null,"Lenovo IdeaPad 110s 11.6"" (32GB, Intel Celeron N, 2.60GHz, 2GB) Laptop - White (#223224740841)"
25,"Terrible seller, NOT RECOMMENDED, BEWARE!",US $329.89,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#273558251620)
26,Crocs approved! Super fast payment. Prompt response. Come back soon.,null,crocsoutlet,null
27,Crocs approved! Super fast payment. Prompt response. Come back soon.,null,crocsoutlet,null
28,Great service Thanks!!!,US $34.98,null,Google Chromecast (2nd Generation) HD Media Streamer - Black (#273510110836)
29,Great Product -- Fast Shipping -- No Problems!,US $149.98,null,"Lenovo IdeaPad 110s 11.6"" (32GB, Intel Celeron N, 2.60GHz, 2GB) Laptop - White (#223206750174)"
30,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
31,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
32,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
33,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
34,"Good buyer, prompt payment, valued customer, highly recommended.~adidas_official",null,adidas_official,null
35,"Good buyer, prompt payment, valued customer, highly recommended.~adidas_official",null,adidas_official,null
36,"Good buyer, prompt payment, valued customer, highly recommended.~adidas_official",null,adidas_official,null
37,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
38,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
39,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
40,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
41,Thank you so much for sharing eBay with us.  PayPal Digital Gifts,null,paypal_digital_gifts,null
42,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
43,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
44,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
45,"Good buyer, prompt payment, valued customer, highly recommended.",null,dirtdevil,null
46,Instant payment. Excellent buyer! Thank you,null,matchqqqq,null
47,Great item and super fast shipping! Thanks! A+++,US $109.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
48,Many thanks from *GALPIN HONDA MISSION HILLS* Excellent Ebayer!!!!!!!!!,null,galpinhonda,null
49,"Had a small issue but seller took care of the problem right away, very pleased!",US $84.98,null,"Hoover TwinTank Steam Mop, WH20200 (#271817026002)"
50,Perfect!  Thank you!,US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
51,"Smooth transaction, fast shipping....  A+++",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
52,"Fast Shipping, great item, Would buy again, AAAAAAAAAAAAAAAA++++++++++++++",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
53,Thanks for you understanding and cooperation.,US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
54,Good buyer! Highly recommended!! +++++,null,starbellone,null
55,"Fast shipping, excellent brand new on collectors bag",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
56,"everthing works, fast delivery",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
57,Thank for your purchase and being an awesome eBay member. We love you!,null,paypal_digital_gifts,null
58,Seller was wonderful to work with. Thank you so much!!,US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
59,Hope to deal with you again. Thank you.,null,cardency,null
60,Thanks so much for shopping with PayPal Digital - You are awesome !,null,paypal_digital_gifts,null
61,Very good seller!!!,US $249.98,null,Brand new Sony Cyber-shot DSC-TX20 16.2 MP Digital Camera - Pink (#271301617971)
62,Hope to deal with you again. Thank you.,null,homiegear,null
63,You are an amazing buyer and we look forward to seeing you again on eBay!,null,paypal_digital_gifts,null
64,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,healthylifesupply,null
65,"excellent buyer, quick payment",null,myherbar,null
66,Great communication. A pleasure to do business with!!!! AAAAAA++++++,null,zedona,(Private listing)
67,Hope to deal with you again. Thank you.,null,homiegear,null
68,Thank for your purchase and being an awesome eBay member. We love you!,null,paypal_digital_gifts,null
69,Great Buyer!,null,verabradley,null
70,We love you!   Thank you so much for sharing eBay with us.  PayPal Digital,null,paypal_digital_gifts,null
71,Great communication. A pleasure to do business with.,null,svmgiftcards,null
72,Love to do biz with again.,null,shamcy,null
73,Hope to deal with you again. Thank you.,null,svmgiftcards,null
74,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,lifestylebyfocus,null
75,Quick response and fast payment. Perfect! THANKS!!,null,svmgiftcards,null
76,Quick response and fast payment. Perfect! THANKS!!,null,ebags,null
77,Quick response and fast payment. Perfect! THANKS!!,null,svmgiftcards,null
78,"5ðŸŒŸBuyer! We look forward to doing business again in the future, Thank You! ðŸ˜Ž",null,robopimp,null
79,You are the best!  Thank you so much for sharing the eBay experience with us :),null,paypal_digital_gifts,null
80,"Good buyer, prompt payment, valued customer, highly recommended.~hasbro-toy-shop",null,hasbro-toy-shop,null
81,"Good buyer, prompt payment, valued customer, highly recommended.~hasbro-toy-shop",null,hasbro-toy-shop,null
82,Thanks for buying from Best Buy,null,best_buy,null
83,Quick response and fast payment. Perfect! THANKS!!,null,traxtone,null
84,Thank you for shopping at Aeropostale!  Please come again.,null,aeropostale,null
85,Thank you for shopping at Aeropostale!  Please come again.,null,aeropostale,null
86,A+A+A+A+A+,null,null,null
87,Thank you for shopping with Newegg.,null,newegg,null
88,Thanks for your order and quick payment!,null,boxunbox,null
89,SUPERFAST PAYMENT! GREAT EBAYER! HOPE TO DO BUSINESS AGAIN! A+A+A+,null,threerb,(Private listing)
90,â™¥ÓœÌµÌ¨Ì„Æ· â™¥Â¸Â¸.*Â´VALUED BUYERâ™¥WELCOME BACK 4 DISCOUNT COACH ITEMSâ™¥,null,the-merchant-of-vega$,null
91,"Great ebayer, prompt payment and instant communication, thank you!",null,rain_blood,null
92,Quick PAY! Thanks.,null,funkybusarider,null
93,Zoro Tools loves you. Three Thumbs Up!,null,zorotools,null
94,"Good buyer, prompt payment, valued customer, highly recommended.",null,best_buy,null
95,Thank you for shopping with Newegg.,null,newegg,null
96,Thank you for you business.,null,refgoods1,null
97,Happy with the purchase,null,null,null
98,Thank you for your business!,null,microsoft,null
99,"Great communication, A pleasure to do business with,",null,proximitystore,null
100,"Thank you for an easy, pleasant transaction.  Excellent buyer.",null,giftcardmall,null
101,Good seller and fast shipping will do business again,null,null,null
102,Excelent!!!!,null,null,null
103,Arrived quickly in excellent condition,null,null,null
104,Very Good Buyer !!! Thank You!!!!,null,soundvideo-bay,null
105,"the seller not shipping to P.R., but good comuniction.",null,null,null
106,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,altatac,(Private listing)
107,"Great communication, A pleasure to do business with,",null,proximitystore,null
108,Everything was perfect.,null,null,null
109,Very quick shipping!  Thank you!,null,null,null
110,It went out of stock when i bought it but inmediatly refunded my money,null,null,null
111,fast a+++,null,null,null
112,Laptop received. Thanks,null,null,null
113,"Great seller, fast shipping. Thanks",null,null,null
114,as promised,null,null,null
115,Perfect! Strongly recommended!,null,null,null
116,Good deal,null,null,null
117,Great sell! Shipped out super fast and was well packed!!! *****,null,null,null
118,The item arrived OK on time. very good seller.,null,null,null
119,PERFECT!! Arrived 2 days before expected...NICE JOB! Thanks :0),null,null,null
120,"Item as described, delivered on time, RECOMMEND to everyone! Will buy again!",null,null,null
121,Great communication. A pleasure to do business with.,null,gogreendirect,null
122,Great communication. A pleasure to do business with.,null,giftcardmall,null
123,Quick response and fast payment. Perfect! THANKS!!,null,giftcardmall,null
124,Great thanks,null,null,null
125,"great buyer, happy to deal with you.  will appreciate your + feedback.",null,mountainxiu,null
126,Works Great,null,null,null
127,"Fast shipping, great seller ",null,null,null
128,Item received in great condition. No problems. Thanks. Seller AAA+++,null,null,null
129,"Arrived very fast, new, in box. Thank you",null,null,null
130,Great seller.  Delivered sooner than expected...A+ transaction.,null,null,null
131,"item as described, fast shipping, great ebayer............Thanks...............",null,null,null
132,Pros:Incredibly fast shipping!!! Con's:He raised the price a few more dollars.,null,null,null
133,Loved the leap pad SUPER FAST DELIVERY!!!!,null,null,null
134,wonderful service - would do business with again,null,null,null
135,Very fast delivery,null,null,null
136,"Brand new quick shipment, Thanks.",null,null,null
137,good,null,null,null
138,Very fast shipping!!!! Thanks.,null,null,null
139,got here so fast! ,null,null,null
140,ordered on sunday the 12th and got it on thurs the 16th very fast & great tablet,null,null,null
141,Very fast and great price!,null,null,null
142,Great seller!,null,null,null
143,EXCELLENT!!! FAST SHIPPING AND ITEM ABOVE EXPECTATIONS!!! A++++++++,null,null,null
144,Outstanding!!! Great Pricing!!! Fast Shipping!!!,null,null,null
145,Great seller!! Great item!!,null,null,null
146,good,null,null,null
147,Fast shipment.  !!!!,null,null,null
148,great product and fast shipping,null,null,null
149,Thank You!,null,null,null
150,The item was exactly how the seller described and arrived in the estimated time.,null,null,null
151,Good transaction,null,null,null
152,my new best friend,null,null,null
153,Item shipped as promised and accurately advertised.,null,null,null
154,Great price Fast shipping,null,null,null
155,great service,null,null,null
156,"good seller, fast shipping!",null,null,null
157,"good seller, fast shipping!",null,null,null
158,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,enjoyebiz,null
159,"LIGHTNING FAST PAYMENT, GREAT CUSTOMER, HIGHLY RECCOMENDED, PLEASUE AAA++++",null,rsundby37,null
160,"Fast shipping, just as described A++++++",null,null,null
161,Perfect,null,null,null
162,Excellent Transaction - Great Communication - Fast Shipping - Highly Recommend,null,null,null
163,"good seller, shipped on time",null,null,null
164,thank you quick shipping!,null,null,null
165,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,barnesandnobleinc,null
166,Great communication. A pleasure to do business with.,null,sunmall88,null
167,"great price, fast delivery, but wrong item (had to return)",null,null,null
168,A+,null,null,null
169,A+,null,null,null
170,Great seller! will buy from again in the future!,null,null,null
171,very fast shipping A+++,null,null,null
172,excellent service and delivered on time,null,null,null
173,"thank you, love it, hope we can do buisness again soon",null,null,null
174,awesome transaction,null,null,null
175,Great buy! Fast shipping! Thanks!,null,null,null
176,A+++ Received within 6 days of payment. Highly recommend this seller!,null,null,null
177,as described,null,null,null
178,Good Deal Thanks. 5*,null,null,null
179,Quick response and fast payment. Perfect! THANKS!!,null,hootoodeals,(Private listing)
180,Product great!  Timely service,null,null,null
181,Fast payment....great transaction...thanks!,null,ladydi7147,null
182,Thank You For Shopping Cargolargo!!  We Appreciate Your Business!!,null,cargolargo,null
183,Super fast shipping...love the boots! Thanks!,null,null,null
184,Awesome transaction. Great eBayer. Thanksâ€¦â€¦..,null,visualstudio97,null
185,A++++++++++++++++++,null,null,null
186,"excellent transaction, quick ship - would do business again",null,null,null
187,received as promised,null,null,null
188,Thank you,null,null,null
189,Super!,null,null,null
190,Excellent Seller!!!!!!! Super fast shipping!!!!!! Highly recommend!!!!!,null,null,null
191,"Very good deal, fast shipping.",null,null,null
192,Great seller.  Price was awesome so I didn't mind paying so much for shipping :),null,null,null
193,I am impressed with accuracy of the description and the care taken in shipping.,null,null,null
194,Very fast payment.  Highly recommended.  A+++++,null,jagrfannj,null
195,Very fast payment.  Highly recommended.  A+++++,null,jagrfannj,null
196,Very fast payment.  Highly recommended.  A+++++,null,jagrfannj,null
197,Very fast payment.  Highly recommended.  A+++++,null,jagrfannj,null
198,Very fast payment.  Highly recommended.  A+++++,null,jagrfannj,null
199,Very fast payment.  Highly recommended.  A+++++,null,jagrfannj,null
200,"Good Seller , Item as Advertised , Quick Ship",US $24.98,null,Canon PG-240XL Ink Cartridge - Black (#274306685961)
201,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
202,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
203,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
204,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
205,Speedy and product exactly  as described. Great seller!,US $246.96,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018)
206,"fast shipping, item as advertised ",US $269.96,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018)
207,Thank you!!  Item like described.  Great Seller! ,US $239.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#274146207819)"
208,Great value and as advertised,US $249.96,null,Brand New Apple iPad 32GB - Space Grey (2017 Model) (#223793534018)
209,Great seller.  Item was as advertised.,US $238.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#223793532311)"
210,Great seller good to have a business with you,US $239.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#274146207819)"
211,Thanks,US $324.89,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#223775664915)
212,Love the item!!,US $238.98,null,"Brand New Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in - Gold (#223793532311)"
213,"Excellent ebayer, would buy again. Fast Shipping!",US $318.98,null,"Apple iPad mini 4 128GB, Wi-Fi, 7.9in - Gold (#223787251107)"
214,"Fast shipping, product was as described.",US $324.98,null,Nintendo Switch - 32GB Gray Console (with Neon Red/Neon Blue Joy-Con) (#273599256653)
215,Fast shipment.  Recommended seller.,US $250.98,null,Apple iPad 32GB - Space Grey (2017 Model) (#273558185029)
216,A+++++seller. VertrauenswÃ¼rdige VerkÃ¤ufer! ,US $99.98,null,Moto Insta-Share Projector (#223750258952)
217,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
218,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
219,Thank you so much for sharing eBay with us.  PayPal Digital Gifts,null,paypal_digital_gifts,null
220,Professional company. Would recommend to anyone. Great item. ,US $329.98,null,"Apple iPad mini 4 128GB, Wi-Fi, 7.9in - Space Gray (#273581498778)"
221,Thks,US $329.98,null,Nintendo Switch - 32GB Gray Console (with Neon Red/Neon Blue Joy-Con) (#273590818098)
222,"FRAUD SELLER,CANCELLD ORDER WITHOUT INFORMING ME,NEVER SHIPPED THE ITEM,AVOID",US $329.89,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#273558251620)
223,"Good buyer, prompt payment, valued customer, highly recommended.",null,dirtdevil,null
224,Received an awesome new laptop! Loving it so much! Thank you!!,US $149.98,null,"Lenovo IdeaPad 110s 11.6"" (32GB, Intel Celeron N, 2.60GHz, 2GB) Laptop - White (#223224740841)"
225,"Terrible seller, NOT RECOMMENDED, BEWARE!",US $329.89,null,Nintendo Switch - 32GB Gray Console - (with Gray Joy-Cons) (#273558251620)
226,Crocs approved! Super fast payment. Prompt response. Come back soon.,null,crocsoutlet,null
227,Crocs approved! Super fast payment. Prompt response. Come back soon.,null,crocsoutlet,null
228,Great service Thanks!!!,US $34.98,null,Google Chromecast (2nd Generation) HD Media Streamer - Black (#273510110836)
229,Great Product -- Fast Shipping -- No Problems!,US $149.98,null,"Lenovo IdeaPad 110s 11.6"" (32GB, Intel Celeron N, 2.60GHz, 2GB) Laptop - White (#223206750174)"
230,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
231,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
232,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
233,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
234,"Good buyer, prompt payment, valued customer, highly recommended.~adidas_official",null,adidas_official,null
235,"Good buyer, prompt payment, valued customer, highly recommended.~adidas_official",null,adidas_official,null
236,"Good buyer, prompt payment, valued customer, highly recommended.~adidas_official",null,adidas_official,null
237,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
238,Great communication. A pleasure to do business with. ~adidas_official,null,adidas_official,null
239,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
240,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
241,Thank you so much for sharing eBay with us.  PayPal Digital Gifts,null,paypal_digital_gifts,null
242,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
243,"Thank you for an easy, pleasant transaction. Excellent buyer. ~adidas_official",null,adidas_official,null
244,Quick response and fast payment. Perfect! THANKS!! ~adidas_official,null,adidas_official,null
245,"Good buyer, prompt payment, valued customer, highly recommended.",null,dirtdevil,null
246,Instant payment. Excellent buyer! Thank you,null,matchqqqq,null
247,Great item and super fast shipping! Thanks! A+++,US $109.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
248,Many thanks from *GALPIN HONDA MISSION HILLS* Excellent Ebayer!!!!!!!!!,null,galpinhonda,null
249,"Had a small issue but seller took care of the problem right away, very pleased!",US $84.98,null,"Hoover TwinTank Steam Mop, WH20200 (#271817026002)"
250,Perfect!  Thank you!,US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
251,"Smooth transaction, fast shipping....  A+++",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
252,"Fast Shipping, great item, Would buy again, AAAAAAAAAAAAAAAA++++++++++++++",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#222383505289)
253,Thanks for you understanding and cooperation.,US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
254,Good buyer! Highly recommended!! +++++,null,starbellone,null
255,"Fast shipping, excellent brand new on collectors bag",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
256,"everthing works, fast delivery",US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
257,Thank for your purchase and being an awesome eBay member. We love you!,null,paypal_digital_gifts,null
258,Seller was wonderful to work with. Thank you so much!!,US $89.98,null,Canon PowerShot A3500 IS 16.0 MP Digital Camera - Red (#271420068286)
259,Hope to deal with you again. Thank you.,null,cardency,null
260,Thanks so much for shopping with PayPal Digital - You are awesome !,null,paypal_digital_gifts,null
261,Very good seller!!!,US $249.98,null,Brand new Sony Cyber-shot DSC-TX20 16.2 MP Digital Camera - Pink (#271301617971)
262,Hope to deal with you again. Thank you.,null,homiegear,null
263,You are an amazing buyer and we look forward to seeing you again on eBay!,null,paypal_digital_gifts,null
264,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,healthylifesupply,null
265,"excellent buyer, quick payment",null,myherbar,null
266,Great communication. A pleasure to do business with!!!! AAAAAA++++++,null,zedona,(Private listing)
267,Hope to deal with you again. Thank you.,null,homiegear,null
268,Thank for your purchase and being an awesome eBay member. We love you!,null,paypal_digital_gifts,null
269,Great Buyer!,null,verabradley,null
270,We love you!   Thank you so much for sharing eBay with us.  PayPal Digital,null,paypal_digital_gifts,null
271,Great communication. A pleasure to do business with.,null,svmgiftcards,null
272,Love to do biz with again.,null,shamcy,null
273,Hope to deal with you again. Thank you.,null,svmgiftcards,null
274,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,lifestylebyfocus,null
275,Quick response and fast payment. Perfect! THANKS!!,null,svmgiftcards,null
276,Quick response and fast payment. Perfect! THANKS!!,null,ebags,null
277,Quick response and fast payment. Perfect! THANKS!!,null,svmgiftcards,null
278,"5ðŸŒŸBuyer! We look forward to doing business again in the future, Thank You! ðŸ˜Ž",null,robopimp,null
279,You are the best!  Thank you so much for sharing the eBay experience with us :),null,paypal_digital_gifts,null
280,"Good buyer, prompt payment, valued customer, highly recommended.~hasbro-toy-shop",null,hasbro-toy-shop,null
281,"Good buyer, prompt payment, valued customer, highly recommended.~hasbro-toy-shop",null,hasbro-toy-shop,null
282,Thanks for buying from Best Buy,null,best_buy,null
283,Quick response and fast payment. Perfect! THANKS!!,null,traxtone,null
284,Thank you for shopping at Aeropostale!  Please come again.,null,aeropostale,null
285,Thank you for shopping at Aeropostale!  Please come again.,null,aeropostale,null
286,A+A+A+A+A+,null,null,null
287,Thank you for shopping with Newegg.,null,newegg,null
288,Thanks for your order and quick payment!,null,boxunbox,null
289,SUPERFAST PAYMENT! GREAT EBAYER! HOPE TO DO BUSINESS AGAIN! A+A+A+,null,threerb,(Private listing)
290,â™¥ÓœÌµÌ¨Ì„Æ· â™¥Â¸Â¸.*Â´VALUED BUYERâ™¥WELCOME BACK 4 DISCOUNT COACH ITEMSâ™¥,null,the-merchant-of-vega$,null
291,"Great ebayer, prompt payment and instant communication, thank you!",null,rain_blood,null
292,Quick PAY! Thanks.,null,funkybusarider,null
293,Zoro Tools loves you. Three Thumbs Up!,null,zorotools,null
294,"Good buyer, prompt payment, valued customer, highly recommended.",null,best_buy,null
295,Thank you for shopping with Newegg.,null,newegg,null
296,Thank you for you business.,null,refgoods1,null
297,Happy with the purchase,null,null,null
298,Thank you for your business!,null,microsoft,null
299,"Great communication, A pleasure to do business with,",null,proximitystore,null
300,"Thank you for an easy, pleasant transaction.  Excellent buyer.",null,giftcardmall,null
301,Good seller and fast shipping will do business again,null,null,null
302,Excelent!!!!,null,null,null
303,Arrived quickly in excellent condition,null,null,null
304,Very Good Buyer !!! Thank You!!!!,null,soundvideo-bay,null
305,"the seller not shipping to P.R., but good comuniction.",null,null,null
306,"Thank you for an easy, pleasant transaction. Excellent buyer. A++++++.",null,altatac,(Private listing)
307,"Great communication, A pleasure to do business with,",null,proximitystore,null
308,Everything was perfect.,null,null,null
309,Very quick shipping!  Thank you!,null,null,null
310,It went out of stock when i bought it but inmediatly refunded my money,null,null,null
311,fast a+++,null,null,null
312,Laptop received. Thanks,null,null,null
313,"Great seller, fast shipping. Thanks",null,null,null
314,as promised,null,null,null
315,Perfect! Strongly recommended!,null,null,null
316,Good deal,null,null,null
317,Great sell! Shipped out super fast and was well packed!!! *****,null,null,null
318,The item arrived OK on time. very good seller.,null,null,null
319,PERFECT!! Arrived 2 days before expected...NICE JOB! Thanks :0),null,null,null
320,"Item as described, delivered on time, RECOMMEND to everyone! Will buy again!",null,null,null
321,Great communication. A pleasure to do business with.,null,gogreendirect,null
322,Great communication. A pleasure to do business with.,null,giftcardmall,null
